from,to,relationship
gl,ai,1
tl,kr,1
pd,mg,1
mm,vs,1
ga,fy,1
jb,en,2
fg,ko,2
gl,fn,2
tl,mn,2
pd,mn,2
mm,en,2
ga,fs,2
mg,hf,2
gl,hf,2
fbl,evo,2
bs,evo,2
rli,evo,2
flo,evo,2
leoko,evo,2
flo,mb,2
hey,klg,2
hey,jnr,2
tim,mn,2
cw,mn,2
rp,mn,2
bfl,mn,2
dw,mn,2
hey,kyz,2
hey,rhp,2
ayl,mn,2
hsf,mn,2
hsf,ohey,1
luf,mn,2
aeo,mn,2
jax,mn,2
lea,en,1
kyz,oti,1
edd,otu,1
ldu,mn,2
han,mn,2
len,fn,1
lui,en,2
mar,fn,2
lou,fn,2
vx,fn,2
xc,fn,2
lex,fn,2
mad,mn,2
han,fra,1
so,ag,2
leo,en,2
fly,neo,2
bb,yhml,1
leoko,pplsq,1
mc,sd,2
mc,mes,2
lptn,tft,2
cc,ls,2
kflnd,jb,2
dp,jb,2
kflnd,jbx,2
pps,at,2
mc,dl,2
mc,bk,2
kflnd,knss,2
kflnd,sllw,2
mc,sl,2
fnt,iaz,2
fnt,jb,2
dd,jbl,2
rs,ml,2
np,prf,2
ph,mr,2
whly,hf,2
whly,jk,2
mimi,sw,2
vfl,bz,2
mn,pd,2
en,mm,2
ko,fg,2
mc,sdu,2
mc,bb,2
stu,vus,1
cuw,vus,2
en,tm,2
en,wv,2
en,kdc,2
en,lmi,2
gg,lsrlc,2
en,jbb,2
sgs,jbb,1
