from,to,relationship
124,1,1
123,2,1
33,3,1
34,4,1
125,5,1
55,12,2
35,14,2
123,11,2
33,11,2
34,12,2
125,15,2
81,12,2
82,11,2
83,11,2
84,11,2
87,11,2
98,11,2
91,11,2
91,94,1
95,11,2
96,11,2
97,11,2
93,12,1
89,92,1
101,11,2
102,11,2
104,12,2
110,11,2
102,111,1
62,12,2
17,37,2
11,33,2
12,34,2
14,35,2
12,114,2
12,115,2
12,116,2
12,118,2
12,121,2
122,121,1
130,129,2
130,1,1
131,12,2
30,11,2
31,11,2
134,11,2
134,135,1
101,135,1
135,11,1
135,12,1
135,16,1
136,11,2
136,135,1
137,135,1
137,11,2
138,11,2
138,135,1
139,135,1
139,11,2
124,16,2
140,3,1
140,14,2
142,12,2
32,72,1
36,72,1
32,11,2
36,11,2
151,15,2
76,12,2
152,3,1
152,14,2
41,12,2
73,12,2
73,72,1
75,11,2
16,11,2
157,11,2
44,12,2
163,164,2
163,165,2
163,166,2
163,167,2
163,168,2
163,169,2
163,170,2
163,171,2
163,172,2
163,173,2
163,174,2
163,175,2
163,176,2
163,177,2
146,12,2
178,14,2
179,14,2
180,14,2
181,14,2
182,14,2
183,195,1
183,14,2
184,14,2
185,14,2
186,197,1
187,14,2
188,14,2
189,14,2
190,8,1
190,14,2
191,199,1
192,14,2
193,8,1
194,14,2
85,12,2
86,12,2
86,11,2
126,11,2
126,12,2
127,12,2
127,14,2
64,12,2
79,12,2
80,12,2
88,12,2
89,12,2
90,12,2
90,14,2
92,11,2
92,12,2
129,11,2
133,12,2
151,12,2
151,18,1
155,12,2
12,11,3
16,13,3
214,215,3
156,11,2
156,12,2
158,11,2
159,12,2
231,12,2
231,11,2
232,12,2
161,160,2
162,160,2
161,12,2
200,160,2
201,160,2
202,160,2
203,160,2
204,160,2
205,160,2
206,160,2
207,160,2
208,160,2
209,160,2
210,160,2
211,160,2
212,160,2
220,77,2
221,77,2
222,77,2
223,77,2
224,77,2
225,77,2
226,77,2
227,77,2
228,77,2
229,77,2
230,77,2
233,216,2
234,216,2
235,216,2
236,216,2
237,216,2
238,216,2
239,216,2
240,216,2
241,216,2
242,216,2
243,216,2
244,216,2
245,216,2
246,216,2
247,216,2
248,216,2
249,216,2
250,216,2
251,216,2
252,216,2
253,12,2
254,213,2
255,213,2
256,213,2
257,213,2
258,213,2
259,213,2
260,213,2
261,213,2
262,213,2
263,213,2
264,213,2
265,213,2
266,213,2
267,213,2
268,213,2
269,213,2
270,213,2
271,16,2
272,16,2
273,16,2
274,16,2
275,16,2
276,16,2
277,16,2
278,16,2
279,16,2
280,16,2
281,16,2
282,16,2
283,16,2
284,16,2
285,16,2
286,16,2
287,13,2
288,13,2
289,13,2
290,13,2
291,13,2
292,13,2
293,13,2
294,218,2
295,218,2
296,218,2
297,218,2
298,218,2
299,12,2
300,11,2
220,12,2
219,72,1
219,77,2
221,12,2
68,77,2
226,12,2
35,77,2
15,301,2
15,302,2
15,303,2
15,304,2
15,305,2
15,306,2
15,307,2
15,308,2
15,309,2
12,309,2
15,310,2
15,311,2
15,312,2
15,313,2
15,314,2
15,315,2
15,316,2
15,317,2
15,318,2
15,319,2
15,320,2
15,321,2
15,322,2
15,323,2
15,324,2
15,325,2
15,326,2
15,327,2
15,328,2
15,329,2
15,330,2
15,331,2
214,332,2
214,333,2
214,334,2
214,335,2
214,336,2
214,337,2
214,338,2
214,339,2
214,340,2
341,15,2
342,11,2
342,12,2
343,12,2
344,12,2
346,12,2
347,12,2
348,12,2
349,12,2
350,12,2
351,12,2
352,12,2
353,12,2
354,12,2
355,12,2
356,12,2
357,12,2
358,12,2
359,12,2
360,12,2
361,12,2
362,12,2
363,12,2
364,12,2
365,12,2
366,12,2
367,12,2
368,12,2
