id,typ,id_name,follower_tsd,Hauptmedium,Umsatz,Standort
knss,3,knossi,1800,instagram,0,Baden-Wuerttemberg
sd,3,shirindavid,6600,instagram,0,Nordrhein-Westfalen
tft,3,twentyFOURtim,5300,tiktok,0,Nordrhein-Westfalen
dl,3,dielochis,154,instagram,0,Hessen
at,3,aarontroschke,315,instagram,0,Berlin
sl,3,slavik_maFOUR,1200,instagram,0,Saarland
bb,3,Ben Bernschneider,439,instagram,0,Nordrhein-Westfalen
mes,3,max echtso,1100,tiktok,0,Schleswig-Holstein
vus,3,viktoriasarina,2060,youtube,0,Austria
jbx,3,juliabeautx,4000,instagram,0,Nordrhein-Westfalen
ls,3,lottastichler,480,instagram,0,Schweden
jb,3,julienbam,4900,instagram,0,Nordrhein-Westfalen
iaz,3,Iamzuckerpuppe,2200,tiktok,0,Berlin
az,3,azure agency,0,NA,0,Nordrhein-Westfalen
alb,3,alberto,195,instagram,0,Niedersachsen
fly,3,flyinguwe,798,instagram,0,Hamburg
neo,2,neosupps,0,NA,0,Hamburg
yhml,3,yilmazhummel,0,NA,0,Berlin
leo,3,getfitbyleo,56,instagram,0,NA
so,3,sophiathiel,1300,instagram,0,Berlin
ag,2,AGONE,0,NA,100,Irland Dublin
mal,3,malika_babel,815,instagram,0,Berlin
mar,3,marceggers,327,instagram,0,Nordrhein-Westfalen
niri,3,niko_rittenau,134,instagram,0,Liechtenstein
leoko,3,leonie kommoss,123,instagram,0,Berlin
evo,2,EVO SPORTS FUEL GmbH,0,NA,476,Nordrhein-Westfalen
gymky,2,PRO Fitness Motivation GmbH,0,NA,0,Austria
sahu,3,sascha_huber_official,653,instagram,0,Austria
pplsq,2,PeoplesSquare GmbH,0,NA,0,Baden-Wuerttemberg
pa,3,paulinawallner,229,instagram,0,Austria
lejo,3,lenaajoy,503,instagram,0,Baden-Wuerttemberg
fbl,3,fitbyeni ,116,instagram,0,Nordrhein-Westfalen
bs,3,bro_sep,184,instagram,0,Nordrhein-Westfalen
rn,2,Rocka Nutrition,0,NA,22,Berlin
rli,3,ramon_limacher,238,instagram,0,NA
flo,3,floriansimunovic,15,instagram,0,NA
hey,2,Holy Energy,0,NA,60,Berlin
mb,2,Monster Beverage,0,NA,7000,USA
tim,3,timrbtz,111,instagram,0,Nordrhein-Westfalen
cw,3,christianwolf,1100,instagram,0,Kapstadt
rp,3,rominapalm,1000,instagram,0,Nordrhein-Westfalen
jnr,3,Just Nero,485,youtube,0,Nordrhein-Westfalen
klg,3,Klengan,592,youtube,0,NA
bfl,3,bienesfitlife,569,instagram,0,NA
dw,3,domi west,493,instagram,0,NA
kyz,3,Kyzer,226,youtube,0,Austria
rhp,3,Ruhepuls,152,youtube,0,NA
hsf,3,herstoryfeed,174,instagram,0,NA
oti,1,onlinetitans,0,NA,0,Baden-Wuerttemberg
lea,3,lea_tntw,7,instagram,0,NA
ohey,1,OHEY Artist Management,0,NA,0,Hamburg
luf,3,lucyfischer,252,instagram,0,Baden-Wuerttemberg
aeo,3,antoniaelena_official,1300,instagram,0,Bayern 
jax,3,jax vita,559,instagram,0,Nordrhein-Westfalen
ayl,3,aylinaphrodite,327,instagram,0,Baden-Wuerttemberg
edd,3,edda elisa,239,instagram,0,NA
otu,1,One True Agency ,0,NA,0,Berlin
ldu,3,linadueren,359,instagram,0,Nordrhein-Westfalen
han,3,hannaahcarolina,206,instagram,0,Nordrhein-Westfalen
len,3,lenaajoy,502,instagram,0,NA
lui,3,luisa tabbert,444,instagram,0,NA
mar,3,marenmorereal,88,instagram,0,NA
lou,3,louispannhorst,24,instagram,0,Niedersachsen
vx,3,vxtez,19,instagram,0,NA
xc,3,xculex,27,instagram,0,NA
lex,3,lexikar,28,instagram,0,NA
mad,3,madlensdiary,213,instagram,0,NA
fra,3,Frankly Agency,0,NA,0,Austria
mimi,2,Mio Mio,0,NA,20,Niedersachsen
vfl,2,veganfoodlove,0,NA,0,Nordrhein-Westfalen
tm,3,esmuellert,14700,instagram,0,Bayern
wv,3,wesleyvissers,1000,instagram,0,Niederlande
kdc,3,karlessdotcom,350,youtube,0,Baden-Wuerttemberg
lsrlc,3,laserluca,4100,instagram,0,Nordrhein-Westfalen
lmi,3,lisa_msw_ibbpro,43,instagram,0,NA
gg,2,Gustavo Gusto,0,NA,0,Bayern
cuw,2,Coppenrath und Wiese,0,NA,0,Nordrhein-Westfalen
jbb,3,jessicaabock,320,instagram,0,Nordrhein-Westfalen
sgs,1,Social Groth Studio,0,NA,0,Schleswig-Holstein
