id,typ,id_name,follower_tsd
ai,1,ALL IMPACT Management,0
kr,1,Krueger_Rizzi Management,0
mg,1,MOONGENCY,0
vs,1,fourfour Studio,0
fy,1,fyndafit,0
ro,1,ReachOn,0
ra,1,Rocks Agency,0
stu,1,StudioSEVENONE,0
lf,1,lookfamed,0
smo,1,Social Media One,0
mn,2,More Nutrition,0
en,2,ESN,0
fn,2,fayn,0
ko,2,KoRo Handels GmbH,0
fs,2,foodspring,0
hllf,2,Hello Fresh,0
np,2,Naturally Pam,0
whly,2,Wholey,0
mc,2,McDonalds,0
kflnd,2,Kaufland,0
lptn,2,Lipton,0
cc,2,Coca Cola,0
rs,2,Rittersport,0
fnt,2,Fanta ,0
ph,2,Pizza Hut,0
pps,2,Pepsi,0
dd,2,Dunkin Donuts,0
dp,2,Dominos Pizza,0
ly,1,likeyaa,0
ml,3,MinimaLara,713
mr,3,Maxine Reuker,146
jbl,3,julesboringlife,6900
pd,3,paula_doeringer,544
mm,3,mariomller,383
fg,3,fitgreenmind,4000
sw,3,Sturmwaffel,1970
prf,3,pamela_rf,9100
bz,3,biancazapatka,727
sllw,3,sallyswelt,1200
sdu,3,simondesue,1900
hf,3,helenefischer,1100
jk,3,kloppo,4600
bk,3,billkaulitz,2000
knss,3,knossi,1800
sd,3,shirindavid,6600
tft,3,twentyFOURtim,5300
dl,3,dielochis,154
at,3,aarontroschke,315
sl,3,slavik_maFOUR,1200
bb,3,Ben Bernschneider,439
mes,3,max echtso,1100
vus,3,viktoriasarina,2060
jbx,3,juliabeautx,4000
ls,3,lottastichler,480
jb,3,julienbam,4900
iaz,3,Iamzuckerpuppe,2200
az,3,azure agency,0
alb,3,alberto,195
fly,3,flyinguwe,798
neo,2,neosupps,0
yhml,3,yilmazhummel,0
leo,3,getfitbyleo,56
so,3,sophiathiel,1300
ag,2,AGONE,0
mal,3,malika_babel,815
mar,3,marceggers,327
niri,3,niko_rittenau,134
leoko,3,leonie kommoss,123
evo,2,EVO SPORTS FUEL GmbH,0
gymky,2,PRO Fitness Motivation GmbH,0
sahu,3,sascha_huber_official,653
pplsq,2,PeoplesSquare GmbH,0
pa,3,paulinawallner,229
lejo,3,lenaajoy,503
fbl,3,fitbyeni ,116
bs,3,bro_sep,184
rn,2,Rocka Nutrition,0
rli,3,ramon_limacher,238
flo,3,floriansimunovic,15
hey,2,Holy Energy,0
mb,2,Monster Beverage,0
tim,3,timrbtz,111
cw,3,christianwolf,1100
rp,3,rominapalm,1000
jnr,3,Just Nero,485
klg,3,Klengan,592
bfl,3,bienesfitlife,569
dw,3,domi west,493
kyz,3,Kyzer,226
rhp,3,Ruhepuls,152
hsf,3,herstoryfeed,174
oti,1,onlinetitans,0
lea,3,lea_tntw,7
ohey,1,OHEY Artist Management,0
luf,3,lucyfischer,252
aeo,3,antoniaelena_official,1300
jax,3,jax vita,559
ayl,3,aylinaphrodite,327
edd,3,edda elisa,239
otu,1,One True Agency ,0
ldu,3,linadueren,359
han,3,hannaahcarolina,206
len,3,lenaajoy,502
lui,3,luisa tabbert,444
marn,3,marenmorereal,88
lou,3,louispannhorst,24
vx,3,vxtez,19
xc,3,xculex,27
lex,3,lexikar,28
mad,3,madlensdiary,213
fra,3,Frankly Agency,0
mimi,2,Mio Mio,0
vfl,2,veganfoodlove,0
tm,3,esmuellert,14700
wv,3,wesleyvissers,1000
kdc,3,karlessdotcom,350
lsrlc,3,laserluca,4100
lmi,3,lisa_msw_ibbpro,43
gg,2,Gustavo Gusto,0
cuw,2,Coppenrath und Wiese,0
jbb,3,jessicaabock,320
sgs,1,Social Groth Studio,0
