id,id_name
ai,ALL IMPACT Management
kr,Krueger_Rizzi Management
mg,MOONGENCY
vs,fourfour Studio
fy,fyndafit
ro,ReachOn
ra,Rocks Agency
stu,StudioSEVENONE
lf,lookfamed
smo,Social Media One
mn,More Nutrition
en,ESN
fn,fayn
ko,KoRo Handels GmbH
fs,foodspring
hllf,Hello Fresh
np,Naturally Pam
whly,Wholey
mc,McDonalds
kflnd,Kaufland
lptn,Lipton
cc,Coca Cola
rs,Rittersport
fnt,Fanta 
ph,Pizza Hut
pps,Pepsi
dd,Dunkin Donuts
dp,Dominos Pizza
ly,likeyaa
ml,MinimaLara
mr,Maxine Reuker
jbl,julesboringlife
pd,paula_doeringer
mm,mariomller
fg,fitgreenmind
sw,Sturmwaffel
prf,pamela_rf
bz,biancazapatka
sllw,sallyswelt
sdu,simondesue
hf,helenefischer
jk,kloppo
bk,billkaulitz
knss,knossi
sd,shirindavid
tft,twentyFOURtim
dl,dielochis
at,aarontroschke
sl,slavik_maFOUR
bb,Ben Bernschneider
mes,max echtso
vus,viktoriasarina
jbx,juliabeautx
ls,lottastichler
jb,julienbam
iaz,Iamzuckerpuppe
az,azure agency
alb,alberto
fly,flyinguwe
neo,neosupps
yhml,yilmazhummel
leo,getfitbyleo
so,sophiathiel
ag,AGONE
mal,malika_babel
mar,marceggers
niri,niko_rittenau
leoko,leonie kommoss
evo,EVO SPORTS FUEL GmbH
gymky,PRO Fitness Motivation GmbH
sahu,sascha_huber_official
pplsq,PeoplesSquare GmbH
pa,paulinawallner
lejo,lenaajoy
fbl,fitbyeni 
bs,bro_sep
rn,Rocka Nutrition
rli,ramon_limacher
flo,floriansimunovic
hey,Holy Energy
mb,Monster Beverage
tim,timrbtz
cw,christianwolf
rp,rominapalm
jnr,Just Nero
klg,Klengan
bfl,bienesfitlife
dw,domi west
kyz,Kyzer
rhp,Ruhepuls
hsf,herstoryfeed
oti,onlinetitans
lea,lea_tntw
ohey,OHEY Artist Management
luf,lucyfischer
aeo,antoniaelena_official
jax,jax vita
ayl,aylinaphrodite
edd,edda elisa
otu,One True Agency 
ldu,linadueren
han,hannaahcarolina
len,lenaajoy
lui,luisa tabbert
marn,marenmorereal
lou,louispannhorst
vx,vxtez
xc,xculex
lex,lexikar
mad,madlensdiary
fra,Frankly Agency
mimi,Mio Mio
vfl,veganfoodlove
tm,esmuellert
wv,wesleyvissers
kdc,karlessdotcom
lsrlc,laserluca
lmi,lisa_msw_ibbpro
gg,Gustavo Gusto
cuw,Coppenrath und Wiese
jbb,jessicaabock
sgs,Social Groth Studio
