id,numer,typ,id_name,follower_tsd,Hauptmedium,Umsatz,Standort
ai,1,1,ALL IMPACT Management,0,NA,0,Nordrhein-Westfalen
kr,2,1,Krueger_Rizzi Management,0,NA,0,Rheinland Pfalz
mg,3,1,MOONGENCY,0,NA,0,Hamburg
vs,4,1,fourfour Studio,0,NA,0,Berlin
fy,5,1,fyndafit,0,NA,0,Berlin
ro,6,1,ReachOn,0,NA,0,Hessen
ra,7,1,Rocks Agency,0,NA,0,Nordrhein-Westfalen
stu,8,1,StudioSEVENONE,0,NA,0,Berlin
lf,9,1,lookfamed,0,NA,0,Niedersachsen
smo,10,1,Social Media One,0,NA,0,Nordrhein-Westfalen
mn,11,2,More Nutrition,0,NA,700,Schleswig Holstein
en,12,2,ESN,0,NA,700,Schleswig Holstein
fn,13,2,fayn,0,NA,0,Bayern
ko,14,2,KoRo Handels GmbH,0,NA,87,Berlin
fs,15,2,foodspring,0,NA,20,Berlin
hllf,16,2,Hello Fresh,0,NA,7610,Berlin
np,17,2,Naturally Pam,0,NA,0,Hamburg
whly,18,2,Wholey,0,NA,0,Berlin
mc,19,2,McDonalds,0,NA,0,USA Illinois
kflnd,20,2,Kaufland,0,NA,0,Baden-Wuerttemberg
lptn,21,2,Lipton,0,NA,0,UK Bedfordshire
cc,22,2,Coca Cola,0,NA,0,USA Georgia
rs,23,2,Rittersport,0,NA,0,Baden-Wuerttemberg
fnt,24,2,Fanta ,0,NA,0,USA Georgia
ph,25,2,Pizza Hut,0,NA,0,USA Texas
pps,26,2,Pepsi,0,NA,0,USA New York
dd,27,2,Dunkin Donuts,0,NA,0,USA Massachusetts
dp,28,2,Dominos Pizza,0,NA,0,USA Michigan
ly,29,1,likeyaa,0,NA,0,Nordrhein-Westfalen
ml,30,3,MinimaLara,713,tiktok,0,Nordrhein-Westfalen
mr,31,3,Maxine Reuker,146,instagram,0,Berlin
jbl,32,3,julesboringlife,6900,tiktok,0,Baden-Wuerttemberg
pd,33,3,paula_doeringer,544,instagram,0,Nordrhein-Westfalen
mm,34,3,mariomller,383,instagram,0,Baden Wuerttemberg
fg,35,3,fitgreenmind,4000,instagram,0,Saarland
sw,36,3,Sturmwaffel,1970,youtube,0,Nordrhein-Westfalen
prf,37,3,pamela_rf,9100,instagram,0,Baden-Wuerttemberg
bz,38,3,biancazapatka,727,instagram,0,Nordrhein-Westfalen
sllw,39,3,sallyswelt,1200,instagram,0,Baden-Wuerttemberg
sdu,40,3,simondesue,1900,instagram,0,Dubai UAE
hf,41,3,helenefischer,1100,instagram,0,Bayern
jk,42,3,kloppo,4600,instagram,0,Baden-Wuerttemberg
bk,43,3,billkaulitz,2000,instagram,0,USA California
knss,44,3,knossi,1800,instagram,0,Baden-Wuerttemberg
sd,45,3,shirindavid,6600,instagram,0,Nordrhein-Westfalen
tft,46,3,twentyFOURtim,5300,tiktok,0,Nordrhein-Westfalen
dl,47,3,dielochis,154,instagram,0,Hessen
at,48,3,aarontroschke,315,instagram,0,Berlin
sl,49,3,slavik_maFOUR,1200,instagram,0,Saarland
bb,50,3,Ben Bernschneider,439,instagram,0,Nordrhein-Westfalen
mes,51,3,max echtso,1100,tiktok,0,Schleswig-Holstein
vus,52,3,viktoriasarina,2060,youtube,0,Austria
jbx,53,3,juliabeautx,4000,instagram,0,Nordrhein-Westfalen
ls,54,3,lottastichler,480,instagram,0,Schweden
jb,55,3,julienbam,4900,instagram,0,Nordrhein-Westfalen
iaz,56,3,Iamzuckerpuppe,2200,tiktok,0,Berlin
az,57,3,azure agency,0,NA,0,Nordrhein-Westfalen
alb,58,3,alberto,195,instagram,0,Niedersachsen
fly,59,3,flyinguwe,798,instagram,0,Hamburg
neo,60,2,neosupps,0,NA,0,Hamburg
yhml,61,3,yilmazhummel,0,NA,0,Berlin
leo,62,3,getfitbyleo,56,instagram,0,NA
so,63,3,sophiathiel,1300,instagram,0,Berlin
ag,64,2,AGONE,0,NA,100,Irland Dublin
mal,65,3,malika_babel,815,instagram,0,Berlin
mar,66,3,marceggers,327,instagram,0,Nordrhein-Westfalen
niri,67,3,niko_rittenau,134,instagram,0,Liechtenstein
leoko,68,3,leonie kommoss,123,instagram,0,Berlin
evo,69,2,EVO SPORTS FUEL GmbH,0,NA,476,Nordrhein-Westfalen
gymky,70,2,PRO Fitness Motivation GmbH,0,NA,0,Austria
sahu,71,3,sascha_huber_official,653,instagram,0,Austria
pplsq,72,2,PeoplesSquare GmbH,0,NA,0,Baden-Wuerttemberg
pa,73,3,paulinawallner,229,instagram,0,Austria
lejo,74,3,lenaajoy,503,instagram,0,Baden-Wuerttemberg
fbl,75,3,fitbyeni ,116,instagram,0,Nordrhein-Westfalen
bs,76,3,bro_sep,184,instagram,0,Nordrhein-Westfalen
rn,77,2,Rocka Nutrition,0,NA,22,Berlin
rli,78,3,ramon_limacher,238,instagram,0,NA
flo,79,3,floriansimunovic,15,instagram,0,NA
hey,80,2,Holy Energy,0,NA,60,Berlin
mb,81,2,Monster Beverage,0,NA,7000,USA
tim,82,3,timrbtz,111,instagram,0,Nordrhein-Westfalen
cw,83,3,christianwolf,1100,instagram,0,Kapstadt
rp,84,3,rominapalm,1000,instagram,0,Nordrhein-Westfalen
jnr,85,3,Just Nero,485,youtube,0,Nordrhein-Westfalen
klg,86,3,Klengan,592,youtube,0,NA
bfl,87,3,bienesfitlife,569,instagram,0,NA
dw,88,3,domi west,493,instagram,0,NA
kyz,89,3,Kyzer,226,youtube,0,Austria
rhp,90,3,Ruhepuls,152,youtube,0,NA
hsf,91,3,herstoryfeed,174,instagram,0,NA
oti,92,1,onlinetitans,0,NA,0,Baden-Wuerttemberg
lea,93,3,lea_tntw,7,instagram,0,NA
ohey,94,1,OHEY Artist Management,0,NA,0,Hamburg
luf,95,3,lucyfischer,252,instagram,0,Baden-Wuerttemberg
aeo,96,3,antoniaelena_official,1300,instagram,0,Bayern 
jax,97,3,jax vita,559,instagram,0,Nordrhein-Westfalen
ayl,98,3,aylinaphrodite,327,instagram,0,Baden-Wuerttemberg
