id,type,id_name,follower_tsd,Hauptmedium,Umsatz,Standort,
1,1,ALL IMPACT Management,0,NA,0,Nordrhein Westfalen,
2,1,Krueger_Rizzi Management,0,NA,0,Rheinland Pfalz,
3,1,MOONGENCY,0,NA,0,Hamburg,
4,1,fourfour Studio,0,NA,0,Berlin,
5,1,fyndafit,0,NA,0,Berlin,
6,1,ReachOn,0,NA,0,Hessen,
7,1,Rocks Agency,0,NA,0,Nordrhein Westfalen,
8,1,StudioSEVENONE,0,NA,0,Berlin,
9,1,lookfamed,0,NA,0,Niedersachsen,
10,1,Social Media One,0,NA,0,Nordrhein Westfalen,
11,2,More Nutrition,0,NA,700,Schleswig Holstein,
12,2,ESN,0,NA,700,Schleswig Holstein,
13,2,Gymqueen,0,NA,143,Bayern,
14,2,KoRo Handels GmbH,0,NA,117,Berlin,
15,2,foodspring,0,NA,84,Berlin,
16,2,Bodylab,0,NA,143,Bayern,
17,2,Naturally Pam,0,NA,0,Hamburg,
18,1,SportsCreate Agency,0,NA,0,Nordrhein Westfalen,
30,3,MinimaLara,713,tiktok,0,Nordrhein Westfalen,
31,3,Maxine Reuker,146,instagram,0,Berlin,
32,3,julesboringlife,6900,tiktok,0,Baden Wuerttemberg,H
33,3,paula_doeringer,544,instagram,0,Nordrhein Westfalen,
34,3,mariomller,383,instagram,0,Baden Wuerttemberg,
35,3,fitgreenmind,4000,instagram,0,Saarland,
36,3,Sturmwaffel,1970,youtube,0,Nordrhein Westfalen,
37,3,pamela_rf,9100,instagram,0,Baden Wuerttemberg,
38,3,biancazapatka,727,instagram,0,Nordrhein Westfalen,
39,3,sallyswelt,1200,instagram,0,Baden Wuerttemberg,
40,3,simondesue,1900,instagram,0,Dubai UAE,
41,3,julesbikini,33,instagram,0,Baden Wuerttemberg,
42,3,kloppo,4600,instagram,0,Baden Wuerttemberg,
43,3,billkaulitz,2000,instagram,0,USA,
44,3,lisa_msw_ifbbpro,43,instagram,0,NA,
45,3,shirindavid,6600,instagram,0,Nordrhein Westfalen,
46,3,twentyFOURtim,5300,tiktok,0,Nordrhein Westfalen,
47,3,dielochis,154,instagram,0,Hessen,
48,3,aarontroschke,315,youtube,0,Berlin,
49,3,slavik_maFOUR,1200,instagram,0,Saarland,
50,3,Ben Bernschneider,439,instagram,0,Nordrhein Westfalen,
51,3,max echtso,1100,tiktok,0,Schleswig Holstein,
52,3,viktoriasarina,2060,youtube,0,Austria,
53,3,juliabeautx,4000,instagram,0,Nordrhein Westfalen,
54,3,lottastichler,480,instagram,0,Schweden,
55,3,julienbam,4900,instagram,0,Nordrhein Westfalen,
56,3,Iamzuckerpuppe,2200,tiktok,0,Berlin,
57,3,azure agency,0,NA,0,Nordrhein Westfalen,
58,3,alberto,195,instagram,0,Niedersachsen,
61,3,yilmazhummel,0,NA,0,Berlin,
62,3,getfitbyleo,56,instagram,0,NA,
63,3,sophiathiel,1300,instagram,0,Berlin,
64,3,paul_unterleitner,397,instagram,0,NA,
65,3,malika_babel,815,instagram,0,Berlin,
66,3,marceggers,327,instagram,0,Nordrhein Westfalen,
67,3,niko_rittenau,134,instagram,0,Liechtenstein,
68,3,leonie kommoss,123,instagram,0,Berlin,
72,1,PeoplesSquare GmbH,0,NA,0,Baden Wuerttemberg,
73,3,leaschlaefcke,8,instagram,0,NA,
75,3,lowcalorisa,128,instagram,0,NA,
76,3,nico_spedicato,408,instagram,0,NA,
77,2,Rocka Nutrition,0,NA,22,Berlin,
78,3,ramon_limacher,238,instagram,0,NA,
79,3,floriansimunovic,15,instagram,0,NA,
81,3,camillankenke,81,instagram,0,NA,
80,3,johnymuenster,1500,instagram,0,NA,
82,3,timrbtz,111,instagram,0,Nordrhein Westfalen,
83,3,christianwolf,1100,instagram,0,Kapstadt,
84,3,rominapalm,1000,instagram,0,Nordrhein Westfalen,
85,3,schmaleschulter,775,instagram,0,NA,
86,3,annabaldauf,217,instagram,0,NA,
87,3,bienesfitlife,569,instagram,0,NA,
88,3,pietheilker,153,instagram,0,NA,
89,3,lennart_felix,157,instagram,0,NA,
90,3,evasaischegg,236,instagram,0,Schweiz,
91,3,herstoryfeed,174,instagram,0,NA,
92,3,iqskitchen,242,instagram,0,NA,
93,3,lea_tntw,7,instagram,0,NA,
94,1,OHEY Artist Management,0,NA,0,Hamburg,
95,3,lucyfischer,252,instagram,0,Baden Wuerttemberg,
96,3,antoniaelena_official,1300,instagram,0,Bayern ,
97,3,jax vita,559,instagram,0,Nordrhein Westfalen,
98,3,aylinaphrodite,327,instagram,0,Baden Wuerttemberg,
99,3,edda elisa,239,instagram,0,NA,
100,1,One True Agency,0,NA,0,Berlin,
101,3,linadueren,359,instagram,0,Nordrhein Westfalen,
102,3,hannaahcarolina,206,instagram,0,Nordrhein Westfalen,
104,3,luisa tabbert,444,instagram,0,NA,
105,3,marenmorereal,88,instagram,0,NA,
106,3,louispannhorst,24,instagram,0,Niedersachsen,
107,3,vxtez,19,instagram,0,NA,
108,3,xculex,27,instagram,0,NA,
109,3,lexikar,28,instagram,0,NA,
110,3,madlensdiary,213,instagram,0,NA,
111,3,Frankly Agency,0,NA,0,Austria,
114,3,esmuellert,14700,instagram,0,Bayern,
115,3,wesleyvissers,1000,instagram,0,Niederlande,
116,3,karlessdotcom,350,youtube,0,Baden Wuerttemberg,
117,3,laserluca,4100,instagram,0,Nordrhein Westfalen,
118,3,lisa_msw_ibbpro,43,instagram,0,NA,
121,3,jessicaabock,320,instagram,0,Nordrhein Westfalen,
122,1,Social Groth Studio,0,NA,0,Schleswig Holstein,
123,3,tigerlariz,189,instagram,0,Nordrhein Westfalen,
124,3,gerdalewis,995,instagram,0,Nordrhein Westfalen,
125,3,growingannanas,1500,instagram,0,NA,
126,3,koelleforniagurl,192,instagram,0,Nordrhein Westfalen,
127,3,leaschreiner,245,instagram,0,NA,
128,3,nikasofie,1100,instagram,0,Bayern,
129,3,simongronau,91,instagram,0,Nordrhein Westfalen,
130,3,dennisgries,109,instagram,0,Bayern,
131,3,smartgains,231,instagram,0,NA,
132,3,denisemerten,304,instagram,0,NA,
133,3,trainingfabi,135,instagram,0,NA,
134,3,johannaalbeert,141,instagram,0,Nordrhein Westfalen,
135,1,StudioHealth Management,0,NA,0,Nordrhein Westfalen,
136,3,alinaristenpart,299,instagram,0,NA,
137,3,ms_nadineslife,292,instagram,0,NA,
138,3,domiwest,493,instagram,0,NA,
139,3,alinajochimsen,162,instagram,0,NA,
140,3,kikidoyouloveme,405,instagram,0,NA,
141,3,behaind,571,youtube,0,Berlin,
142,3,annastrainingstipps,95,instagram,0,Rheinland Pfalz,
143,3,stillchris,80,instagram,0,Nordrhein Westfalen,
144,3,willywillofficial,60,instagram,0,NA,
145,3,marvinconen,53,instagram,0,NA,
146,3,lukefithyrox,24,instagram,0,NA,
147,3,siegismund,333,youtube,0,Berlin,
148,3,chateaubriand,332,instagram,0,Hamburg,
150,3,ekofreezy,0,instagram,0,NA,
151,3,burak_kkr,80,instagram,0,NA,
152,3,evathuemling,189,instagram,0,NA,
153,3,annawillfrt,200,tiktok,0,NA,
155,3,celineftONE,68,instagram,0,NA,
156,3,vivaavanessa,46,instagram,0,NA,
157,3,sarahshealthylifestyle,221,instagram,0,NA,
158,3,susis_abnehmweg,311,instagram,0,USA,
159,3,alina_wi,58,instagram,0,NA,
160,2,zecplus,0,NA,0,Rheinland Pfalz,
161,3,faridbangbang,2600,instagram,0,Nordrhein Westfalen,
162,3,marvincalifornia,40,instagram,0,USA,
163,2,bodyattack,50,instagram,8,Hamburg,
164,3,lifewithlucaa,2,instagram,0,NA,
165,3,gymaggie_lifts,10,instagram,0,NA,
166,3,thebigbah7,8,instagram,0,NA,
167,3,king_owusuuu,18,instagram,0,NA,
168,3,taraa_talay,68,instagram,0,NA,
169,3,pumping_firefighter,35,instagram,0,NA,
170,3,alina_polonio,26,instagram,0,NA,
171,3,tinihadi_,50,instagram,0,NA,
172,3,max_balser,2,instagram,0,NA,
173,3,moritztellmann,21,instagram,0,NA,
174,3,liftwithannah,3,instagram,0,NA,
175,3,damianschreieck,5,instagram,0,NA,
176,3,constantin_eisenlohr,5,instagram,0,NA,
177,3,vietnamesegenetics,3,instagram,0,NA,
178,3,alina_vegan_foodie,13,instagram,0,Wien,
179,3,sandys_bunte_welt,17,instagram,0,Hessen,
180,3,mimi_lawrence_fitness,494,instagram,0,NA,
181,3,lisamarie_schlemm,14,instagram,0,Niedersachsen,
182,3,fitgreenmind,4000,instagram,0,Baden Wuerttemberg,
183,3,evan_klar,2,instagram,0,Berlin,
184,3,foodschau,229,tiktok,0,Baden Wuerttemberg,
185,3,yasemin_nils,715,tiktok,0,Hessen,
186,3,unterwegsmitjasmin,89,tiktok,0,Baden Wuerttemberg,
187,3,drogerie_blogger_pro,205,tiktok,0,NA,
188,3,_mascha_li,334,tiktok,0,NA,
189,3,diearsen,23,tiktok,0,NA,
190,3,fitbyhannah,162,tiktok,0,Baden Wuerttemberg,
191,3,plantbasedcouple,342,tiktok,0,Hamburg,
192,3,farah_anaya,29,tiktok,0,NA,
193,3,yxcvanessa,114,tiktok,0,Berlin,
194,3,tierfrei_check,57,instagram,0,Baden Wuerttemberg,
195,1,emi,0,NA,0,London,
196,1,soulcial,0,NA,0,Nordrhein Westfalen,
197,1,themakagency,0,NA,0,Niedersachsen,
199,1,boksi,0,NA,0,Hamburg,
200,3,kerimengizek,342,instagram,0,Nordrhein Westfalen,
201,3,jaqueline_sprIng,182,instagram,0,Thailand,
202,3,fabicze_ifbbpro,36,instagram,0,Baden Wuerttemberg,
203,3,coach_timbuyame,83,instagram,0,Hamburg,
204,3,andrinafit,342,instagram,0,Spanien Mallorca,
205,3,sharo_45,98,instagram,0,Nordrhein Westfalen,
206,3,xsra62,33,instagram,0,Baden Wuerttemberg,
207,3,joleelove,141,instagram,0,Berlin,
208,3,b_lash178,79,instagram,0,Berlin,
209,3,mcbogy46,75,instagram,0,Berlin,
