number,id,type,id_name,follower_tsd,Hauptmedium
1,ai,1,ALL IMPACT Management,0,NA
2,kr,1,Krüger _ Rizzi Management,0,NA
3,mg,1,MOONGENCY,0,NA
4,vs,1,fourfour Studio,0,NA
5,fy,1,fyndafit,0,NA
6,mn,2,More Nutrition,0,NA
7,en,2,ESN,0,NA
8,fn,2,fayn,0,NA
9,ko,2,KoRo Handels GmbH,0,NA
10,fs,2,foodspring,0,NA
11,hf,2,Hello Fresh,0,NA
12,gl,3,gerdalewis,1000,instagram
14,tl,3,tigerlariz,188,instagram
15,pd,3,paula_doeringer,523,instagram
16,mm,3,mariomllr,357,instagram
17,ga,3,growingannanas,1500,instagram
18,jb,3,jessicabook,296,instagram
19,fg,3,fitgreenmind,3900,instagram
