nummer,id,type,id_name,follower_tsd,Hauptmedium,Umsatz,Standort
1,ai,1,ALL IMPACT Management,0,a,0,0
2,kr,1,Krüger _ Rizzi Management,0,a,0,0
3,mg,1,MOONGENCY,0,a,0,0
4,vs,1,fourfour Studio,0,a,0,0
5,fy,1,fyndafit,0,a,0,0
6,mn,2,More Nutrition,0,a,700,0
7,en,2,ESN,0,a,700,0
8,fn,2,fayn,0,a,0,0
9,ko,2,KoRo Handels GmbH,0,a,3700,0
10,fs,2,foodspring,0,a,0,0
11,hf,2,Hello Fresh,0,a,7600,0
12,gl,3,gerdalewis,1000,instagram,0,0
14,tl,3,tigerlariz,188,instagram,0,0
15,pd,3,paula_doeringer,523,instagram,0,0
16,mm,3,mariomllr,357,instagram,0,0
17,ga,3,growingannanas,1500,instagram,0,0
18,jb,3,jessicabook,296,instagram,0,0
19,fg,3,fitgreenmind,3900,instagram,0,0
