nummer,id,typ,id_name,follower_tsd,Hauptmedium,Umsatz,Standort
1,ai,1,ALL IMPACT Management,0,NA,0,NA
2,kr,1,Krüger_Rizzi Management,0,NA,0,NA
3,mg,1,MOONGENCY,0,NA,0,NA
4,vs,1,fourfour Studio,0,NA,0,NA
5,fy,1,fyndafit,0,NA,0,NA
6,mn,2,More Nutrition,0,NA,700,NA
7,en,2,ESN,0,NA,700,NA
8,fn,2,fayn,0,NA,0,Bayern
9,ko,2,KoRo Handels GmbH,0,NA,3700,NA
10,fs,2,foodspring,0,NA,20,Berlin
11,hf,2,Hello Fresh,0,NA,7600,NA
12,gl,3,gerdalewis,1000,instagram,0,NA
14,tl,3,tigerlariz,188,instagram,0,NA
15,pd,3,paula_doeringer,523,instagram,0,NA
16,mm,3,mariomllr,357,instagram,0,NA
17,ga,3,growingannanas,1500,instagram,0,NA
18,jb,3,jessicabook,296,instagram,0,NA
19,fg,3,fitgreenmind,3900,instagram,0,NA
