id,type,id_name,follower_tsd,Hauptmedium,Umsatz,Standort,Geschlecht
1,1,ALL IMPACT Management,0,NA,0,Deutschland,0
2,1,Krueger_Rizzi Management,0,NA,0,Deutschland,0
3,1,MOONGENCY,0,NA,0,Deutschland,0
4,1,fourfour Studio,0,NA,0,Deutschland,0
5,1,fyndafit,0,NA,0,Deutschland,0
6,0,jan_stuehmer,586,instagram,0,Deutschland,1
7,0,julien_brueske,24,instagram,0,Deutschland,1
8,1,StudioSEVENONE,0,NA,0,Deutschland,0
9,0,kim_ic,148,instagram,0,Deutschland,2
10,0,gabrielkelly_official,126,instagram,0,Deutschland,1
11,2,More Nutrition,0,NA,700,Deutschland,0
12,2,ESN,0,NA,700,Deutschland,0
13,2,Gymqueen,0,NA,143,Deutschland,0
14,2,KoRo Handels GmbH,0,NA,117,Deutschland,0
15,2,foodspring,0,NA,84,Deutschland,0
16,2,Bodylab,0,NA,143,Deutschland,0
17,2,Naturally Pam,0,NA,0,Deutschland,0
18,1,SportsCreate Agency,0,NA,0,Deutschland,0
19,3,roman_schmid_,56,instagram,0,Deutschland,1
20,3,izabelaion,297,instagram,0,UAE,2
21,3,virginia_rox,45,instagram,0,Austria,2
22,3,justunfrenchie,172,instagram,0,Frankreich,1
23,3,thomasroeler,118,instagram,0,Deutschland,1
24,3,laurralucie,131,instagram,0,Deutschland,2
25,3,the_franklin,108,instagram,0,Deutschland,1
26,3,capitano_maurice,451,instagram,0,NA,1
27,3,moritzneumann_,29,instagram,0,Vereintes Koenigreich,1
28,3,llore_music,188,instagram,0,NA,2
29,3,georgiasmithball,40,instagram,0,NA,2
30,3,malis_muscle_kitchen,30,tiktok,0,Deutschland,1
31,3,malis_muscle_kitchen_,55,instagram,0,Deutschland,1
32,3,mimakocht,9,tiktok,0,Deutschland,2
33,3,paula_doeringer,567,instagram,0,Deutschland,2
34,3,mariomller,383,instagram,0,Deutschland,1
35,3,fitgreenmind,4000,instagram,0,Deutschland,2
36,3,michellemargarete,37,instagram,0,Deutschland,2
37,3,pamela_rf,9100,instagram,0,Deutschland,2
38,3,maramones,34,tiktok,0,Deutschland,2
39,3,mara_mones,11,instagram,0,Deutschland,2
40,3,tatumsara,39,tiktok,0,Deutschland,2
41,3,tatumsara_,133,instagram,0,Deutschland,2
42,3,hej_lejla,45,tiktok,0,Deutschland,2
43,3,hej_lejla_,87,instagram,0,Deutschland,2
44,3,lisa_msw_ifbbpro,43,instagram,0,NA,2
45,3,msnadineslife,239,tiktok,0,Deutschland,2
46,3,fitness_sophie,57,tiktok,0,Deutschland,2
47,3,fitness_sophie_,44,instagram,0,Deutschland,2
48,3,leoniemarye,28,tiktok,0,Deutschland,2
49,3,inas_fitblog,175,instagram,0,Deutschland,2
50,3,joana_salamone,902,tiktok,0,Deutschland,2
51,3,mein_rossmann,928,instagram,0,Deutschland,0
52,3,pamgoesnuts,726,instagram,0,Deutschland,2
53,3,luciavazalves,1,instagram,0,Deutschland,2
54,3,stoppt_mobbing_carsten_stahl,271,instagram,0,Deutschland,1
55,3,julienbam,4900,instagram,0,Deutschland,1
56,3,umut_fit_official,10,instagram,0,Deutschland,1
57,3,maxxfilm_media,4,instagram,0,Deutschland,1
58,3,ehrenmann_andy,2,instagram,0,Deutschland,1
59,3,yamina_niya,495,instagram,0,Frankreich,2
60,3,talkingtomybody,59,instagram,0,Italien,2
61,3,nikischrameck,14,instagram,0,NA,1
62,3,getfitbyleo,56,instagram,0,NA,1
63,3,anne_eats_oats,1,instagram,0,Deutschland,2
64,3,paul_unterleitner,397,instagram,0,NA,1
65,3,laufgepasst,7,instagram,0,Deutschland,2
66,3,maxhauptsachehashtag,11,instagram,0,NA,1
67,3,oliverpajic,199,instagram,0,Deutschland,1
68,3,leonie kommoss,123,instagram,0,Deutschland,2
69,3,smartisfitness,61,instagram,0,Spanien,2
70,3,michael_predacher,935,instagram,0,Austria,1
71,3,bypatricialarissa,63,instagram,0,Austria,2
72,1,PeoplesSquare GmbH,0,NA,0,Deutschland,0
73,3,leaschlaefcke,8,instagram,0,NA,2
74,3,sportybethcf,148,instagram,0,NA,2
75,3,lowcalorisa,128,instagram,0,NA,2
76,3,nico_spedicato,408,instagram,0,NA,1
77,2,Rocka Nutrition,0,NA,22,Deutschland,0
78,3,kxplr,4,instagram,0,NA,1
79,3,floriansimunovic,15,instagram,0,NA,1
80,3,johnymuenster,1500,instagram,0,NA,1
81,3,camillankenke,81,instagram,0,NA,2
82,3,timrbtz,111,instagram,0,Deutschland,1
83,3,christianwolf,1100,instagram,0,Südafrika,1
84,3,rominapalm,1000,instagram,0,Deutschland,2
85,3,schmaleschulter,775,instagram,0,NA,1
86,3,annabaldauf,217,instagram,0,NA,2
87,3,bienesfitlife,569,instagram,0,NA,2
88,3,pietheilker,153,instagram,0,NA,1
89,3,lennart_felix,157,instagram,0,NA,1
90,3,evasaischegg,236,instagram,0,Schweiz,2
91,3,herstoryfeed,174,instagram,0,NA,2
92,3,iqskitchen,242,instagram,0,NA,1
93,3,lea_tntw,7,instagram,0,NA,2
94,1,OHEY Artist Management,0,NA,0,Deutschland,0
95,3,lucyfischer,252,instagram,0,Deutschland,2
96,3,antoniaelena_official,1300,instagram,0,Deutschland ,2
